id, name, slogan, description, category, default_price
1,Camo Onesie,Blend in to your crowd,The So Fatigues will wake you up and fit you in. This high energy camo will have you blending in to even the wildest surroundings.,Jackets,140
2,Bright Future Sunglasses,You've got to wear shades,"Where you're going you might not need roads, but you definitely need some shades. Give those baby blues a rest and let the future shine bright on these timeless lenses.",Accessories,69
3,Morning Joggers,Make yourself a morning person,Whether you're a morning person or not.  Whether you're gym bound or not.  Everyone looks good in joggers.,Pants,40
4,Slacker's Slacks,"Comfortable for everything, or nothing",I'll tell you how great they are after I nap for a bit.,Pants,65
5,Heir Force Ones,A sneaker dynasty,"Now where da boxes where I keep mine? You should peep mine, maybe once or twice but never three times. I'm just a sneaker pro, I love Pumas and shell toes, but can't nothin compare to a fresh crispy white pearl",Kicks,99
6,Pumped Up Kicks,Faster than a just about anything,The Pumped Up serves up crisp court style with a modern look. These shoes show off tennis-whites shades and are constructed with a supple leather upper and a classic rubber cupsole.,Kicks,89
7,Blues Suede Shoes,2019 Stanley Cup Limited Edition,Touch down in the land of the Delta Blues in the middle of the pouring rain,Dress Shoes,120
8,YEasy 350,Just jumped over jumpman,These stretchy knit shoes show off asymmetrical lacing and a big sculpted rubber midsole. In a nod to adidas soccer heritage.,Kicks,450
9,Summer Shoes,A risky call in the spring or fall,Low-top panelled buffed leather and mesh sneakers. Sizing embroidered in black at round toe. Tonal lace-up closure. Pull-loop and rubberized style name at padded tongue. Padded collar. Pull-loop at heel collar. Logo embroidered in black at outer side. Tonal treaded rubber sole. Tonal stitching.,Kicks,59
10,Infinity Stone,"Reality is often disappointing. That is, it was. Now, reality can be whatever I want.","The Infinity Stones are six immensely powerful stone-like objects tied to different aspects of the universe, created by the Cosmic Entities. Each of the stones possesses unique capabilities that have been enhanced and altered by various alien civilizations for millennia.",Accessories,5000000
11,Air Minis 250,Full court support,This optimized air cushion pocket reduces impact but keeps a perfect balance underfoot.,Basketball Shoes,49
12,Carolyn Slacks,Ex exercitationem illo distinctio similique voluptas in.,Nobis facere nostrum et. Sit nihil optio rem provident voluptatum eum. Provident quis labore cumque et. Ad omnis voluptatibus aut. Pariatur enim eaque. Optio blanditiis et eum est et itaque explicabo fugit sunt.,Slacks,479
13,Otilia Socks,Dicta perspiciatis aut facere ut id dolor.,Facere et et in. Numquam quia esse est. Rerum deserunt expedita ipsum quaerat qui. Maiores qui sit quaerat unde est laboriosam aut sit. Pariatur quae earum rerum labore. Omnis illum dolore nam odit asperiores.,Socks,894
14,The Shirley Pants,Aut rem eos ut et.,Molestias ea repellat. Rerum dicta et fugit distinctio atque accusamus. Quisquam qui voluptates molestiae omnis quia totam quod. Id officiis labore officiis molestias deserunt incidunt praesentium. Velit quas ab animi unde maiores culpa. Ut sed molestiae velit.,Pants,747
15,Richie Dress,Placeat magni nam unde eaque.,Magni nihil voluptatem consequatur voluptas dolorum sit architecto. Rem a eum ducimus. Maxime vel corporis magnam laboriosam necessitatibus et dignissimos.,Dress,835
16,Madge Heels,Eum nam molestiae ipsa voluptatum quos.,Autem commodi suscipit dolores. Illum saepe sequi. Corrupti labore incidunt consequatur sunt velit quibusdam quaerat laudantium tempore. Placeat et ut quod maxime magnam maxime nulla. Non est culpa aperiam deserunt et libero ut aut velit. Et voluptatibus fugit earum.,Heels,599
17,The Domenica Shorts,Maxime cum dolorem accusantium labore.,Optio blanditiis nulla exercitationem earum. Id voluptatem perspiciatis et. Quia fugit nihil perferendis voluptatem impedit aut voluptas.,Shorts,257
18,Marge Skirt,Molestiae amet sed doloribus dolorem.,Quis in maxime quae hic aut deleniti et consectetur adipisci. Maxime repellat enim adipisci tempore. Culpa suscipit et commodi quis reiciendis minus dolor ut.,Skirt,64
19,Josiane Romper,Ex quis aut.,Aut iste earum quas ut quis dolorem laborum nobis quos. Iure nihil ullam corporis. Eligendi nemo quod et facilis. Consequuntur consectetur nihil ipsa sed aperiam. Voluptate natus aut. Molestiae sit debitis quia voluptatibus saepe doloremque aperiam.,Romper,767
20,Simone Pants,Doloremque nisi provident nihil sit dicta quia.,Recusandae aut dolorum quaerat dolores error quo facilis aliquid. Autem dicta dolorem amet impedit. Dolores repellat autem vel sed nihil. Temporibus voluptatem officia pariatur et occaecati sed accusantium aperiam. Quas sequi voluptate omnis non voluptates quam nulla iste est.,Pants,99